Laporan Iklan Produk - Shopee Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Username,idolahometextile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nama Toko,Idola Style Official Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID Toko,27721805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waktu Laporan Dibuat,29/06/2026 11:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periode,01/06/2026 - 29/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenis Iklan,Semua Tipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penempatan Iklan,"Semua Penempatan, Pencarian dari Semua Penempatan, Rekomendasi dari Semua Penempatan, Halaman Pencarian, Search within Search, Discovery within Search, Halaman Rekomendasi, Search within Discovery, Discovery within Discovery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urutan,Nama Iklan,Status,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Add to Cart,Add to Cart Rate,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Voucher Amount,Vouchered Sales
1,Shop GMV Max,Berjalan,-,-,GMV Max Auto Bidding (Shop),Semua Penempatan,30/09/2025 00:00:00,Tidak Terbatas,168899,7758,4.59%,-,-,224,119,2.89%,1.53%,16538.67,31131.62,236,122,31767760,17782829,3704662,8.58,4.8,11.66%,20.83%,2997221,15001948
2,Katun Jepang KJ Sale,Berjalan,-,-,GMV Max ROAS,-,1/10/2025 0:00,Tidak Terbatas,77123,3235,4.19%,-,-,54,30,1.67%,0.93%,33071.27,59528.28,56,30,9198533,5608180,1785849,5.15,3.14,19.41%,31.84%,928873,3835552
3,Microtex Print Tinggi 30 cm,Berjalan,-,-,GMV Max ROAS,-,30/09/2025 00:00:00,Tidak Terbatas,20386,907,4.45%,-,-,35,8,3.86%,0.88%,10784.88,47183.85,46,8,3963678,728424,377471,10.5,1.93,9.52%,51.82%,93035,509200
4,Matras Protectorr,Berjalan,-,-,GMV Max ROAS,-,22/06/2026 00:00:00,Tidak Terbatas,9762,348,3.56%,-,-,6,4,1.72%,1.15%,56761.66,85142.5,7,5,1464100,982000,340570,4.3,2.88,23.26%,34.68%,0,0
5,Matras Protector,Dijeda,-,-,GMV Max ROAS,-,30/09/2025 00:00:00,Tidak Terbatas,11510,309,2.68%,-,-,6,2,1.94%,0.65%,54500.09,163500.27,6,2,1137800,468000,327001,3.48,1.43,28.74%,69.87%,106462,468000
6,Idola Style Travel Blanket / Selimut Fleece 150x200 [2],Berjalan,21123505003,-,GMV Max ROAS,Semua Penempatan,10/2/2026 0:00,Tidak Terbatas,26295,1450,5.51%,93,6.41%,30,29,2.07%,2.00%,15477.85,16011.57,37,36,3239924,3150224,464336,6.98,6.78,14.33%,14.74%,138227,793056
7,Sprei Polos Jacquard Emboss VR-JE9010 T30 [4],Berjalan,8979730377,-,GMV Max ROAS,Semua Penempatan,30/06/2025 00:00:00,Tidak Terbatas,16817,899,5.35%,62,6.90%,25,16,2.78%,1.78%,23277.66,36371.35,26,17,3487650,2609541,581942,5.99,4.48,16.69%,22.30%,84371,319000
8,Sprei Polos Jacquard Emboss VR-JE9011 T30 [5],Berjalan,10719370182,-,GMV Max ROAS,Semua Penempatan,9/9/2025 0:00,Tidak Terbatas,15337,641,4.18%,47,7.33%,9,8,1.40%,1.25%,51852.43,58333.99,9,8,1441422,1275722,466672,3.09,2.73,32.38%,36.58%,84744,485311
9,Sprei Polos Jacquard Emboss VR-JE9004 T30 [6],Berjalan,11116382699,-,GMV Max ROAS,Semua Penempatan,12/2/2026 0:00,Tidak Terbatas,11736,571,4.87%,46,8.06%,16,11,2.80%,1.93%,28355.59,41244.5,20,12,2252350,1590800,453689,4.96,3.51,20.14%,28.52%,48846,408200
10,Sprei Polos Jacquard Emboss VR-JE9013 T30 [6],Berjalan,9679734128,-,GMV Max ROAS,Semua Penempatan,12/2/2026 0:00,Tidak Terbatas,9579,405,4.23%,29,7.16%,16,9,3.95%,2.22%,21663.71,38513.26,17,10,2035350,1348680,346619,5.87,3.89,17.03%,25.70%,74768,475200
11,Sprei Polos Jacquard Emboss VR-JE9015 T30 [7],Berjalan,9380028764,-,GMV Max ROAS,Semua Penempatan,22/06/2026 00:00:00,Tidak Terbatas,3341,158,4.73%,6,3.80%,4,2,2.53%,1.27%,35502.35,71004.7,4,2,601650,304325,142009,4.24,2.14,23.60%,46.66%,52130,304325
12,Sprei Polos Jacquard Emboss VR-JE9014 T30 [6],Berjalan,3494985687,-,GMV Max ROAS,Semua Penempatan,22/06/2026 00:00:00,Tidak Terbatas,2014,108,5.36%,2,1.85%,0,0,0.00%,0.00%,0,0,0,0,0,0,63129,0,0,0.00%,0.00%,0,0
